district,year,ratio
10,2014,0
10,2015,5.88
10,1999,3.93
10,1995,4.44
10,1988,16.67
10,1989,6.35
10,1990,3.74
10,1991,7.32
10,1992,9.47
10,1993,6.12
10,1994,6.39
10,1996,3.33
10,1997,4.38
10,1998,5.36
10,2000,1.48
10,2001,4.15
10,2002,6.77
10,2003,1.68
10,2004,3.23
10,2005,4.2
10,2006,3.73
10,2007,0
10,1982,0
10,1983,0
10,1986,33.33
10,1979,100
10,1987,16.67
10,1984,0
10,1985,0
11,1995,8.66
11,2004,1.39
11,1983,16.67
11,1999,5.24
11,2007,3.54
11,2005,6.75
11,2013,6.25
11,2006,5.09
11,1994,9.69
11,1990,10.58
11,1989,10.57
11,2000,2.67
11,2014,6.38
11,1998,3.42
11,1993,12.24
11,1997,4.23
11,2015,0
11,2008,2.61
11,1992,6.31
11,2009,4.38
11,1988,35
11,2010,1.6
11,1991,8.4
11,1996,5.68
11,2011,2.9
11,2012,5.41
11,2001,3.85
11,2002,2.21
11,2003,2.16
11,1986,75
11,1987,33.33
11,1985,0
11,1982,0
11,2016,0
12,2012,3.25
12,2002,4.84
12,2001,4.82
12,2006,3.69
12,2007,1.66
12,2003,3.14
12,2008,1.84
12,1999,5.29
12,2005,3.53
12,1998,4.75
12,2000,3.32
12,2004,5.75
12,1989,12.42
12,1996,8.07
12,1990,10.17
12,1997,7.43
12,1991,10.38
12,2009,1.61
12,1992,13.19
12,2010,1.08
12,1993,11.76
12,2011,2.54
12,1994,13.19
12,2013,6
12,2014,1.23
12,1995,10.61
12,2015,2.86
12,1988,40
12,2016,0
12,1980,0
12,1984,16.67
12,1987,23.08
12,1983,0
12,1985,50
12,1986,0
13,1993,7.88
13,2009,5.77
13,1998,6.95
13,1995,6.19
13,1999,2.14
13,2003,4.04
13,2000,3.24
13,1991,11.11
13,1997,6.7
13,2007,1.49
13,2012,0
13,1990,7.61
13,2001,6.57
13,2008,0
13,1989,17.65
13,2002,3.12
13,1992,10.88
13,2005,3.51
13,1996,6.13
13,2004,3.12
13,1994,5.64
13,2006,13.7
13,2010,0
13,1988,14.29
13,2011,5
13,2014,0
13,2013,5.56
13,2015,16.67
13,2016,0
13,1987,0
13,1985,50
13,1983,100
14,2012,11.11
14,1992,12.63
14,2000,2.64
14,2006,5.13
14,2009,5.51
14,1994,6.76
14,2002,5
14,1996,6.52
14,1997,9.84
14,2008,5
14,1999,6.15
14,2010,5.62
14,1993,9.02
14,2007,6.52
14,2005,12.04
14,2001,4.49
14,2011,10.26
14,1995,3.95
14,1998,5
14,2003,11.96
14,1991,5.36
14,1985,0
14,2004,6.8
14,1990,11.67
14,1989,8.57
14,1986,15.38
14,1988,0
14,1984,0
14,1980,0
14,1987,0
14,1981,0
14,1979,0
15,1998,13.31
15,1999,6.07
15,1989,8.7
15,2003,3.25
15,2004,9.03
15,1995,12.45
15,2005,9.02
15,2006,7.48
15,1997,6.71
15,1991,10.33
15,2014,12.5
15,2007,3.57
15,2008,3.12
15,2009,2.83
15,1996,8.06
15,2010,1.92
15,2015,0
15,2011,13.04
15,2012,4.44
15,2013,6.67
15,1988,16.67
15,1990,11.22
15,1994,6.22
15,1993,8.2
15,1992,10.29
15,2000,3.87
15,2016,0
15,2001,4.78
15,2002,5.15
15,1987,11.43
15,1986,7.14
15,1985,0
15,1983,0
15,1984,0
15,1982,0
15,1981,0
15,1980,0
15,1977,100
16,1994,8.88
16,2000,4.9
16,1992,8.71
16,2013,5.15
16,1997,9.37
16,2001,3.24
16,2007,2.73
16,2003,2.68
16,1995,8.46
16,1990,6.45
16,2012,6.74
16,1991,6.23
16,2006,8.29
16,2008,2.34
16,2002,2.72
16,1996,6.6
16,1989,5.1
16,1998,8.36
16,2011,8.33
16,2014,5.56
16,2009,2.05
16,2010,3.42
16,2004,4.5
16,2005,3.57
16,1993,7.77
16,2015,11.11
16,1988,6.25
16,1999,8.29
16,1986,5.26
16,1987,18.75
16,1985,16.67
16,1984,0
16,1981,0
16,2016,0
16,1983,14.29
17,1994,10.99
17,1990,6.06
17,2007,6.58
17,2003,6.59
17,2012,3.23
17,2004,4.17
17,2013,10.71
17,1992,6.45
17,1989,6.06
17,2014,11.76
17,2002,2.41
17,2015,12.5
17,2000,4.05
17,1988,11.11
17,1998,5.56
17,2008,0
17,1996,10.42
17,1995,12.05
17,2010,2.44
17,1997,12.94
17,1991,7.95
17,2009,7.14
17,2006,5.45
17,1993,6.14
17,1999,5.71
17,2001,0
17,2011,5.88
17,2005,4.84
17,1985,0
17,1986,0
17,1987,16.67
17,2016,0
17,1984,0
18,1996,9.29
18,2005,5.45
18,1997,3.7
18,1994,9.57
18,2000,3.72
18,1989,7.25
18,2004,5.32
18,2003,4.67
18,1992,7.56
18,2008,1.23
18,2007,4.72
18,1999,0.77
18,1998,4.97
18,1993,15.38
18,2009,4.69
18,2001,10
18,2002,5.66
18,2011,12.12
18,1991,8.5
18,1995,8.24
18,2015,0
18,2010,3.12
18,1986,0
18,2006,9.09
18,1983,20
18,2012,0
18,2014,21.05
18,1984,25
18,1990,13.46
18,1985,0
18,2013,10.53
18,1988,12.5
18,1980,100
18,1987,0
18,1982,100
18,2016,0
19,1998,6.47
19,1999,6.86
19,2001,3.79
19,2012,4.88
19,2006,7.63
19,2007,4.68
19,2000,3.72
19,1994,10.65
19,2003,2.94
19,1991,10.47
19,1996,10.06
19,1992,12.95
19,2009,5.63
19,1997,6.49
19,1995,8.42
19,2014,4.55
19,2005,4.1
19,2008,4.49
19,2002,1.7
19,2015,4.76
19,2004,2.35
19,2013,17.86
19,1993,7.53
19,1990,11.39
19,2016,0
19,2010,7.46
19,1988,11.54
19,1989,7.04
19,1986,13.33
19,2011,4.76
19,1987,5.88
19,1985,9.09
19,1984,8.33
19,1982,50
19,1983,16.67
19,1981,0
20,1992,4.67
20,2008,2.78
20,2004,10.71
20,1996,9.35
20,2010,2.7
20,2003,5.75
20,1991,2.33
20,2000,4.52
20,1995,7.24
20,2001,2.68
20,2007,1.89
20,1997,3.65
20,1998,6.54
20,2002,7.61
20,2009,3.77
20,1999,2.2
20,2011,13.33
20,2006,10
20,2005,0
20,2016,0
20,1987,20
20,1980,0
20,1993,5.77
20,1983,0
20,1984,0
20,1986,0
20,2015,5
20,2013,4.55
20,1994,4.55
20,2012,4.35
20,2014,3.12
20,1989,14.04
20,1985,0
20,1990,12.82
20,1988,0
20,1979,100
21,1995,5.2
21,2000,1.42
21,1990,17.19
21,1996,4.35
21,1997,4.97
21,2002,2.04
21,2004,2.67
21,1991,8.94
21,2005,2.27
21,2012,18.18
21,1998,8
21,2008,2.17
21,2010,0
21,2006,4.44
21,2014,0
21,1994,5.16
21,1989,8.47
21,2009,13.51
21,1993,5.26
21,2007,5.45
21,2011,0
21,1992,3.9
21,2003,3.37
21,2001,3.52
21,2013,7.14
21,2015,7.69
21,1999,5.15
21,1986,30.77
21,1987,0
21,1985,0
21,1983,0
21,2016,0
21,1984,20
21,1982,0
21,1979,0
21,1988,66.67
22,1992,7.04
22,2003,14.53
22,1997,10
22,2000,7.89
22,1991,6.51
22,2007,4.79
22,2006,11.29
22,1993,12.43
22,2002,7.87
22,1994,6.76
22,1996,8.96
22,1999,8.64
22,2008,7.64
22,1995,8.92
22,2009,4.65
22,2004,12.12
22,1990,11.94
22,2010,4.31
22,1998,10.18
22,2001,2.89
22,2011,10.57
22,1989,12.86
22,1986,0
22,2005,13.19
22,1987,14.29
22,2012,0
22,1985,0
22,1984,10
22,1988,14.29
22,1981,100
22,1971,100
23,2010,0
23,2007,3
23,2003,3.43
23,1995,8.33
23,2013,0
23,2004,0.68
23,2000,3.61
23,1993,4.07
23,2006,6.25
23,1999,3.12
23,1998,7.83
23,1997,4.85
23,1996,4.35
23,1992,12.03
23,2001,8.86
23,2002,1
23,2011,12.5
23,2009,2.06
23,2008,8.22
23,1989,9.09
23,2005,2.99
23,1991,10.22
23,1994,6.15
23,1986,66.67
23,1990,2.86
23,2012,6.12
23,2015,0
23,2014,8.7
23,1983,25
23,1984,25
23,1982,0
23,2016,0
23,1985,0
23,1987,0
23,1981,0
23,1988,44.44
23,1980,0
24,2002,5.7
24,1994,7.79
24,1998,2.26
24,2000,5.94
24,1992,6.78
24,1997,6
24,1986,62.5
24,1991,3.2
24,1993,6.99
24,2009,6.96
24,1995,6.73
24,2005,3.19
24,2003,3.33
24,2006,4.17
24,2008,1.32
24,2001,2.07
24,2004,7.04
24,1999,4.29
24,1996,1.88
24,2007,6.8
24,1990,16.13
24,2011,6.82
24,1989,3.19
24,1988,58.33
24,2010,8.59
24,1987,0
24,1970,100
24,1979,33.33
24,1984,0
24,1985,0
24,2012,14.29
24,1982,0
24,1981,0
25,1994,4.61
25,1992,8.22
25,1999,5
25,2006,5
25,2002,4
25,1995,3.26
25,2000,1.24
25,1997,5.26
25,1989,3.66
25,2001,4.21
25,2007,3.12
25,1993,5.52
25,2010,0
25,1991,5.77
25,1998,2.58
25,2013,7.69
25,1996,4.92
25,2003,3.03
25,1986,40
25,1985,0
25,2005,3.97
25,2008,1.2
25,2004,2.04
25,1990,13.25
25,2012,11.76
25,1988,7.14
25,1984,11.11
25,2014,0
25,2015,12.5
25,2009,0
25,2011,3.03
25,1987,0
25,1982,50
25,2016,0
25,1983,0
