#,cohort,total_officers,officers_with_allegations,unique_crid_count,is_disciplined,total_coaccusals,avg_coaccused_count,discplined_rate,total_cost,avg_total_cost,avg_years_on_force_at_incident,avg_ages_at_incident
1,1,1156,1156,20174,1144,56294,2.7904233171408744,0.05670665212649945474,42508443,224912.396825396825,7.730687153222364,34.24270877792004
2,2,10071,10071,96651,9921,196844,2.0366473187033761,0.10264767048452680262,254874025,274353.094725511302,8.475196749722988,35.932167514276784
3,3,23780,12217,47137,7880,91000,1.9305428856312451,0.16717228504147484991,78747987,605753.746153846154,9.185504544395245,37.61174551386623
