30085,263913,2
21287,263066,2
4484,260893,2
19150,266785,2
7394,260095,2
8518,267928,2
16945,267970,2
28783,264618,2
28117,263879,2
28378,259284,2
9796,267251,2
13777,262457,2
2269,268134,2
21081,261197,2
21649,259828,2
2725,262886,2
15344,265942,2
18877,267068,2
3564,266889,2
18308,268294,2
30137,264156,2
9694,265252,2
21530,269237,2
21118,269134,2
1868,260407,2
13241,264250,2
18384,262800,2
14200,260377,2
16460,264553,2
5272,265337,2
13788,260129,2
10950,263688,2
5739,259284,2
27451,265417,2
18295,268186,2
425,261046,2
22274,268165,2
16499,261367,2
24459,267662,2
4263,266003,2
3186,263940,2
7391,267263,2
21468,265931,2
3771,260869,2
29033,259284,2
12679,269588,2
7339,261948,2
26523,261007,2
21118,267467,2
632,266287,2
11365,264771,2
7232,262333,2
9521,269734,2
9694,265951,2
12491,265201,2
6295,261887,2
5444,265354,2
12478,266813,2
4527,264322,2
15243,264331,2
30021,268050,2
21194,263069,2
6836,261707,2
3808,265405,2
15336,260000,2
2153,265299,2
6451,264079,2
22788,260440,2
17413,263913,2
27451,260377,2
29148,261566,2
11554,259536,2
21448,263311,2
24464,262805,2
16636,269572,2
28378,260828,2
9694,270898,2
1706,263037,2
13434,260440,2
8280,266016,2
12434,260062,2
2829,259008,2
6659,260900,2
8683,260109,2
3761,261948,2
21081,264039,2
12932,268186,2
8500,260376,2
21287,264878,2
17840,259142,2
31211,260529,2
1924,266550,2
22966,264613,2
23732,259227,2
28805,263904,2
16875,261915,2
3858,260442,2
25799,266001,2
28082,260377,2
10245,267232,2
14513,259735,2
8706,268468,2
10630,259147,2
13055,265444,2
6620,266353,2
16380,262553,2
13685,259540,2
9234,263940,2
25962,262457,2
25031,260162,2
12930,266073,2
13350,265727,2
885,266336,2
11190,266486,2
8706,264717,2
11554,262620,2
4101,267635,2
15956,259517,2
10482,270219,2
7242,267354,2
7394,261583,2
6836,266924,2
27405,260610,2
20706,262225,2
26535,268104,2
11625,268681,2
15137,261379,2
10171,263603,2
24464,265588,2
19528,265271,2
27405,265417,2
2228,266174,2
18112,268528,2
24856,264884,2
10962,266907,2
20220,260663,2
23732,266907,2
15081,265491,2
27021,259449,2
8375,268468,2
5252,263768,2
25888,262203,2
