#,id,count,id,count
514,15112,16,15112,1
515,15137,78,15137,6
516,15233,44,15233,1
517,15243,26,15243,2
518,15246,22,15246,1
519,15252,13,,
520,15273,16,,
521,15310,33,,
522,15336,27,15336,1
523,15344,64,15344,2
524,15360,44,,
525,15435,24,,
526,15436,16,15436,1
527,15449,9,15449,2
528,15496,5,15496,1
529,15502,58,15502,2
530,15545,31,,
531,15561,7,,
532,15562,20,,
533,15565,12,,
534,15611,26,,
535,15631,23,15631,1
536,15681,21,,
537,15695,15,15695,1
538,15699,17,,
539,15704,25,15704,1
540,15711,19,,
541,15795,24,,
542,15883,16,,
543,15904,21,,
544,15944,60,15944,3
545,15947,16,,
546,15956,59,15956,6
547,15991,25,15991,3
548,16011,16,,
549,16036,8,16036,1
550,16067,13,16067,1
551,16094,16,16094,1
552,16126,23,16126,1
553,16181,15,16181,1
554,16197,24,,
555,16201,30,16201,2
556,16273,22,,
557,16304,42,,
558,16335,25,16335,1
559,16380,53,,
560,16427,61,16427,7
561,16438,12,,
562,16460,21,,
563,16462,23,16462,2
564,16499,17,,
565,16508,20,,
566,16511,46,16511,5
567,16545,32,16545,1
568,16576,16,,
569,16636,12,,
570,16659,13,16659,1
571,16733,22,,
572,16801,15,,
573,16812,41,,
574,16871,14,,
575,16875,17,16875,10
576,16893,8,,
577,16894,60,16894,5
578,16945,33,,
579,16999,37,,
580,17020,12,,
581,17050,8,,
582,17083,19,17083,1
583,17087,43,17087,4
584,17095,10,,
585,17103,34,17103,2
586,17117,21,,
587,17128,20,,
588,17161,38,,
589,17182,64,,
590,17189,16,,
591,17251,16,,
592,17278,15,,
593,17285,93,17285,4
594,17328,9,,
595,17335,16,17335,2
596,17358,17,,
597,17397,92,17397,1
598,17399,22,,
599,17413,25,17413,1
600,17540,41,17540,1
601,17542,25,,
602,17606,47,17606,2
603,17647,71,17647,2
604,17690,9,,
605,17721,31,17721,2
606,17742,13,17742,2
607,17745,4,,
608,17816,136,17816,3
609,17840,22,17840,1
610,17864,44,,
611,17931,24,,
612,17946,43,,
613,18002,39,18002,3
614,18047,65,18047,1
615,18068,12,,
616,18082,47,,
617,18095,11,18095,1
618,18101,6,,
619,18112,47,,
620,18122,5,18122,1
621,18180,48,18180,3
622,18191,36,,
623,18202,15,,
624,18205,67,,
625,18225,34,18225,1
626,18231,10,,
627,18249,9,,
628,18259,12,,
629,18295,73,18295,1
630,18308,23,18308,2
631,18338,16,,
632,18340,27,,
633,18341,38,18341,1
634,18384,34,,
635,18425,36,18425,3
636,18431,13,,
637,18453,66,,
638,18499,11,,
639,18500,23,18500,1
640,18537,12,,
641,18562,30,,
642,18582,14,,
643,18610,20,,
644,18667,7,,
645,18688,22,,
646,18704,17,,
647,18735,5,,
648,18791,8,,
649,18807,8,,
650,18825,7,,
651,18877,24,18877,1
652,18943,12,,
653,18998,11,18998,1
654,19038,26,,
655,19048,40,19048,3
656,19060,18,,
657,19119,25,19119,1
658,19150,53,,
659,19220,42,19220,1
660,19243,7,19243,1
661,19284,38,19284,1
662,19302,26,,
663,19324,19,,
664,19331,21,19331,2
665,19377,13,,
666,19413,24,,
667,19474,18,,
668,19499,12,19499,1
669,19502,9,19502,2
670,19528,39,19528,2
671,19532,27,,
672,19549,21,19549,2
673,19554,21,,
674,19564,15,,
675,19578,43,,
676,19596,22,19596,1
677,19601,21,19601,1
678,19639,37,,
679,19652,46,,
680,19685,13,19685,1
681,19687,27,19687,1
682,19710,13,,
683,19723,12,19723,1
684,19867,23,19867,3
685,19878,19,,
686,19921,10,19921,1
687,20034,30,,
688,20109,6,,
689,20150,39,,
690,20154,49,,
691,20205,7,20205,1
692,20220,47,20220,3
693,20246,29,20246,1
694,20250,40,,
695,20273,15,,
696,20301,16,,
697,20309,9,20309,1
698,20331,23,20331,1
699,20481,21,,
700,20577,13,20577,2
701,20586,33,20586,1
702,20627,14,,
703,20633,17,20633,1
704,20685,40,20685,3
705,20692,28,,
706,20706,24,20706,1
707,20713,74,20713,3
708,20738,8,,
709,20756,28,20756,1
710,20798,24,20798,2
711,20826,18,20826,1
712,20884,34,20884,2
713,20891,19,,
714,20913,52,,
715,20937,18,20937,1
716,20955,27,20955,1
717,20956,15,20956,2
718,20967,14,,
719,20980,28,,
720,21081,36,,
721,21118,57,,
722,21124,57,,
723,21150,64,21150,3
724,21160,19,21160,1
725,21194,32,,
726,21208,11,,
727,21251,15,,
728,21260,68,21260,1
729,21265,26,21265,1
730,21277,24,,
731,21287,46,21287,1
732,21320,47,,
733,21325,34,,
734,21339,26,,
735,21345,7,,
736,21362,26,21362,2
737,21448,57,21448,1
738,21455,11,,
739,21468,127,,
740,21491,5,,
741,21515,8,,
742,21523,25,,
743,21530,56,21530,9
744,21541,37,21541,3
745,21571,17,,
746,21647,20,,
747,21649,12,,
748,21665,9,,
749,21677,6,,
750,21703,56,,
751,21710,56,21710,1
752,21713,21,21713,2
753,21832,9,,
754,21850,23,,
755,21897,40,,
756,21992,29,21992,1
757,21993,7,,
758,22044,52,,
759,22167,9,,
760,22216,26,,
761,22229,24,22229,2
762,22274,15,,
763,22392,14,,
764,22410,16,,
765,22436,18,,
766,22448,42,,
767,22449,36,22449,1
768,22513,18,,
769,22543,11,22543,1
770,22554,25,22554,2
771,22557,7,22557,1
772,22614,34,,
773,22619,5,22619,2
774,22622,54,22622,2
775,22645,17,22645,1
776,22690,24,,
777,22701,35,,
778,22788,21,,
779,22789,48,22789,2
780,22803,23,,
781,22828,64,22828,3
782,22837,18,,
783,22931,7,,
784,22946,12,,
785,22966,42,,
786,22995,4,,
787,23004,61,23004,1
788,23011,31,,
789,23032,30,23032,1
790,23106,25,23106,2
791,23167,18,,
792,23171,9,23171,1
793,23174,34,,
794,23180,6,,
795,23201,20,23201,7
796,23207,41,23207,2
797,23239,41,,
798,23244,27,,
799,23252,20,23252,1
800,23323,20,23323,1
801,23389,12,,
802,23398,10,23398,1
803,23437,5,,
804,23489,10,,
805,23537,35,,
806,23589,4,23589,1
807,23630,6,23630,1
808,23691,15,,
809,23707,23,,
810,23716,40,,
811,23732,24,,
812,23761,48,23761,1
813,23781,32,23781,1
814,23792,24,23792,1
815,23816,22,23816,1
816,23827,20,23827,1
817,23909,11,23909,1
818,23952,39,,
819,23984,16,23984,2
820,23999,9,23999,1
821,24017,35,24017,1
822,24026,32,24026,1
823,24145,23,24145,2
824,24195,22,,
825,24298,21,,
826,24326,55,24326,4
827,24353,12,,
828,24359,26,24359,1
829,24431,62,24431,4
830,24455,18,24455,1
831,24459,17,24459,6
832,24464,40,24464,1
833,24467,26,,
834,24521,71,,
835,24528,24,24528,2
836,24550,20,,
837,24597,26,,
838,24674,17,,
839,24695,23,24695,1
840,24697,21,24697,1
841,24711,15,24711,2
842,24820,14,24820,3
843,24856,35,24856,2
844,24887,20,,
845,24896,6,,
846,24902,37,,
847,24924,27,,
848,24951,25,,
849,25031,48,,
850,25127,16,25127,3
851,25230,15,25230,1
852,25248,10,,
853,25253,17,,
854,25259,13,25259,1
855,25298,3,,
856,25320,21,,
857,25359,6,25359,1
858,25364,43,25364,3
859,25365,20,25365,2
860,25366,38,25366,3
861,25380,27,,
862,25401,29,25401,1
863,25448,16,,
864,25507,25,25507,2
865,25528,30,,
866,25543,13,,
867,25558,7,,
868,25575,31,,
869,25576,36,25576,1
870,25578,23,,
871,25638,20,,
872,25644,18,,
873,25732,24,25732,1
874,25794,12,,
875,25799,91,,
876,25811,17,25811,1
877,25836,10,,
878,25872,22,25872,3
879,25885,62,25885,4
880,25888,15,,
881,25927,7,,
882,25957,21,25957,1
883,25962,31,25962,2
884,25980,14,,
885,25983,27,,
886,25987,21,25987,5
887,25999,17,25999,3
888,26018,15,,
889,26032,15,,
890,26065,12,,
891,26068,21,26068,1
892,26071,14,26071,1
893,26096,69,26096,2
894,26100,30,26100,2
895,26101,39,26101,3
896,26162,14,26162,2
897,26167,28,26167,7
898,26179,9,,
899,26221,11,,
900,26258,37,26258,2
901,26291,27,,
902,26296,35,,
903,26363,51,26363,1
904,26379,21,26379,1
905,26523,13,,
906,26530,20,,
907,26535,66,26535,2
908,26540,13,,
909,26556,22,,
910,26586,15,26586,2
911,26608,28,,
912,26618,19,26618,1
913,26692,46,26692,1
914,26775,29,,
915,26789,21,,
916,26879,21,26879,3
917,26902,25,,
918,26907,29,,
919,26923,12,26923,2
920,26932,5,,
921,26939,9,26939,1
922,26965,7,,
923,26974,9,,
924,27021,25,27021,2
925,27022,23,,
926,27046,5,,
927,27101,33,27101,4
928,27154,25,,
929,27170,40,27170,3
930,27209,19,,
931,27229,17,,
932,27287,14,27287,2
933,27288,15,27288,1
934,27319,35,27319,4
935,27360,9,,
936,27372,12,,
937,27377,7,,
938,27378,13,,
939,27384,50,27384,3
940,27392,38,27392,3
941,27405,15,,
942,27412,31,27412,1
943,27415,61,27415,3
944,27451,23,,
945,27472,14,,
946,27499,15,27499,1
947,27602,35,27602,3
948,27614,47,,
949,27634,38,27634,2
950,27669,17,,
951,27740,49,27740,8
952,27794,11,,
953,27797,33,,
954,27801,27,27801,1
955,27930,14,,
956,27932,27,27932,1
957,27933,21,,
958,27935,61,27935,1
959,28018,10,28018,1
960,28082,15,,
961,28085,13,,
962,28111,15,,
963,28117,27,28117,2
964,28120,49,28120,2
965,28121,7,,
966,28138,42,,
967,28212,45,28212,2
968,28307,7,,
969,28329,30,,
970,28350,8,,
971,28378,75,28378,2
972,28424,24,,
973,28514,8,28514,2
974,28594,12,28594,1
975,28620,18,28620,1
976,28665,15,28665,2
977,28672,7,,
978,28741,33,28741,2
979,28767,5,,
980,28783,32,28783,5
981,28805,123,28805,5
982,28867,49,28867,1
983,28937,22,28937,3
984,28968,20,,
985,28987,12,28987,1
986,29033,117,29033,3
987,29044,18,29044,1
988,29078,18,,
989,29088,15,29088,1
990,29089,27,29089,1
991,29148,26,29148,2
992,29170,18,,
993,29264,17,29264,2
994,29269,5,,
995,29272,10,,
996,29297,63,29297,9
997,29327,22,29327,2
998,29399,19,29399,2
999,29454,18,,
1000,29483,9,,
1001,29486,28,,
1002,29539,14,,
1003,29545,2,,
1004,29584,7,,
1005,29670,41,,
1006,29683,12,,
1007,29688,18,,
1008,29703,11,29703,1
1009,29772,34,29772,1
1010,29803,7,,
1011,29827,33,29827,1
1012,29874,22,29874,1
1013,29882,49,29882,1
1014,30021,27,30021,4
1015,30047,19,,
1016,30085,22,30085,1
1017,30088,15,30088,2
1018,30089,23,,
1019,30137,34,,
1020,30153,8,,
1021,30162,17,,
1022,30166,38,30166,1
1023,30187,14,,
1024,30214,49,30214,1
1025,30215,48,30215,2
1026,30229,17,,
1027,30278,10,30278,1
1028,30282,26,,
1029,30287,26,30287,3
1030,30377,6,,
1031,30474,30,30474,2
1032,30515,14,,
1033,30518,59,30518,6
1034,30554,12,,
1035,30593,34,,
1036,30626,12,30626,3
1037,30677,44,30677,3
1038,30737,35,30737,3
1039,30760,18,30760,1
1040,30764,7,30764,1
1041,30766,27,,
1042,30836,11,,
1043,30843,12,,
1044,30845,25,,
1045,30907,19,30907,3
1046,31024,21,,
1047,31030,15,,
1048,31052,40,31052,1
1049,31054,14,31054,1
1050,31106,14,,
1051,31141,41,,
1052,31144,11,,
1053,31172,32,31172,1
1054,31191,36,31191,4
1055,31211,54,,
1056,31219,12,31219,1
1057,31240,13,,
1058,31246,14,31246,3
1059,31363,36,31363,1
1060,31400,21,,
1061,31456,24,31456,2
1062,31478,6,,
1063,31485,32,,
1064,31551,35,,
1065,31648,25,31648,1
1066,31718,20,31718,1
1067,31738,12,,
1068,31760,23,31760,2
