id,gender,race,appointed_date,active,complaint_percentile,civilian_allegation_percentile,last_unit_id,crid,incident_date,point,beat_id,location,allegation_category_id,disciplined,crew_id
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,267220,2000-11-12 00:00:00+00,0101000020E6100000B21A01CB00E955C0129C9F877FD54440,219,Public Way - Other,143,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,266344,2000-10-06 00:00:00+00,0101000020E610000077AC08ED8BEC55C02C746F8FEFEB4440,153,Police Building,194,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,265624,2000-09-12 00:00:00+00,0101000020E6100000AB49A6F999E755C0EEB7D15B97D64440,217,Public Way - Other,194,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,265198,2000-08-27 00:00:00+00,0101000020E6100000AB49A6F999E755C0EEB7D15B97D64440,217,Public Way - Other,71,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,C267220,2000-11-12 00:00:00+00,0101000020E6100000B21A01CB00E955C08A56EE0566D54440,,"",143,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,C266344,2000-10-06 00:00:00+00,0101000020E610000077AC08ED8BEC55C02C746F8FEFEB4440,,"",194,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,C265624,2000-09-12 00:00:00+00,0101000020E61000002B80CE4994E755C012D66B1F97D64440,,"",194,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,C265198,2000-08-27 00:00:00+00,0101000020E61000002B80CE4994E755C012D66B1F97D64440,,"",71,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,1058936,2012-12-10 00:00:00+00,,203,Private Residence,98,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,1058822,2012-11-20 00:00:00+00,0101000020E6100000428BB67496E355C07C46223482E04440,222,Public Way - Other,204,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,1030432,2009-09-01 00:00:00+00,0101000020E610000046088F368EE555C0C5E3A25A44E24440,209,Public Way - Other,93,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,1010826,2007-11-09 00:00:00+00,,236,Private Residence,205,false,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,1009764,2007-10-01 00:00:00+00,0101000020E6100000E962D34AA1E655C033C8B83D9CD84440,261,Other Police Property,194,true,824
183,F,Hispanic,1999-12-13,Yes,85.7820,81.8766,5,1074348,2015-02-26 00:00:00+00,0101000020E6100000DE9ED62343EA55C025523F1471F04440,130,Police Building,202,,824
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,1004112,2007-03-14 00:00:00+00,0101000020E61000001D1D5723BBE655C001A3CB9BC3E94440,,Public Way - Other,98,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,292209,2003-09-09 00:00:00+00,,,Private Residence,194,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,1078496,2015-11-13 00:00:00+00,0101000020E61000002FD8B22124ED55C0D2E5289BCDEF4440,132,Police Building,,,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C258311,1999-11-29 00:00:00+00,0101000020E610000053FC299F2FEC55C0F90BE2A881E34440,,"",71,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C253613,1999-01-21 00:00:00+00,0101000020E6100000DB5207793DE955C0DB696B4430E64440,,"",219,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C252736,1999-04-06 00:00:00+00,0101000020E610000063D34A2190F155C04B22FB20CBE24440,,"",71,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C237165,1997-05-27 00:00:00+00,0101000020E61000000E8DDDF49DEB55C0AE23B31FCEE64440,,"",98,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C224820,1996-02-09 00:00:00+00,0101000020E61000004305E2D0B6EA55C0EDECD0555FE64440,,"",204,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C222686,1995-11-19 00:00:00+00,0101000020E6100000768C2B2E8EE855C058E542E55FE74440,,"",152,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C218721,1995-01-31 00:00:00+00,0101000020E610000057B5A4A39CEA55C039211917B3E54440,,"",98,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C216008,1995-03-03 00:00:00+00,0101000020E6100000E5D8D53F63EB55C0DC01E8418BE54440,,"",98,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C198581,1993-02-10 00:00:00+00,0101000020E61000002C2EE98340EA55C0D913138A63E64440,,"",98,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C192157,1992-05-11 00:00:00+00,0101000020E610000099CB571355EE55C0D79D93837EE84440,,"",99,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C187313,1991-09-13 00:00:00+00,0101000020E61000000BD3F71A026154C0167CE42032AA3B40,,"",98,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C187307,1991-09-06 00:00:00+00,0101000020E61000004D7BEF1417EB55C026732CEFAAE54440,,"",92,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,C171579,1989-10-14 00:00:00+00,0101000020E610000081C17F048FEA55C0465B9544F6E74440,,"",204,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,1051468,2012-01-25 00:00:00+00,0101000020E61000002864E76DECE755C01E9F35E444EA4440,98,Other Police Property,72,false,830
203,M,Hispanic,1986-07-14,Yes,66.1075,47.6380,208,1023949,2008-06-17 00:00:00+00,0101000020E6100000D1031F8315EC55C039D2191879E34440,273,Public Way - Other,204,false,830
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,295238,2004-01-18 00:00:00+00,0101000020E61000007A2AF1CABFEF55C031395A7AD9F34440,190,Public Way - Other,72,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,290291,2003-06-22 00:00:00+00,0101000020E6100000D014F02197EE55C0CE05E4011BFA4440,,Public Way - Other,98,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,280690,2002-05-17 00:00:00+00,0101000020E6100000BC6F213427F055C0AF25E4839EF44440,190,Other Private Premise,71,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C246374,1998-06-24 00:00:00+00,0101000020E61000003E78EDD206EE55C04FBE8F59ACF44440,,"",204,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C245294,1998-05-04 00:00:00+00,0101000020E61000000734C7A8A1F355C0F2F16492ECF64440,,"",71,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C235020,1997-03-03 00:00:00+00,0101000020E610000059D130C651F055C08B87F71C58F44440,,"",71,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C234968,1997-02-27 00:00:00+00,0101000020E61000008D710F536CEE55C09A661591BCF34440,,"",205,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C233306,1996-12-10 00:00:00+00,0101000020E610000082DCEADE2FF055C05A01744EA2F34440,,"",98,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C228892,1996-07-17 00:00:00+00,0101000020E61000009E91ADD36DF155C0943DF83F76F34440,,"",32,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C213685,1994-11-15 00:00:00+00,0101000020E610000050340F6011F155C0BB7B253559F44440,,"",98,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C213008,1994-10-18 00:00:00+00,0101000020E61000002157EA5910EF55C001F099362DF44440,,"",98,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,C206053,1994-01-01 00:00:00+00,0101000020E6100000A66E1DD25EF255C0301F5A7567F44440,,"",92,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,1021108,2008-10-23 00:00:00+00,,192,Private Residence,71,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,1014818,2008-03-04 00:00:00+00,,174,Private Residence,70,false,1343
238,M,Asian/Pacific,1991-04-24,Yes,61.1517,47.6380,228,1081695,2016-08-01 00:00:00+00,0101000020E6100000F1DD414706E855C0EED11BEE23F24440,73,Street,145,,1343
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,1004647,2007-04-02 00:00:00+00,0101000020E6100000A851ED7838ED55C042507F0750EC4440,151,Public Way - Other,70,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,1000231,2006-09-09 00:00:00+00,,146,Private Residence,204,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,314684,2006-08-03 00:00:00+00,0101000020E6100000D88F5E1E7CEE55C0B8C777CEBBED4440,147,Public Way - Other,204,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,313020,2006-05-17 00:00:00+00,0101000020E6100000D71533C2DBEC55C0DC7E9EAB52EC4440,153,Public Way - Other,70,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,300737,2004-08-26 00:00:00+00,0101000020E61000004CB159E40DEA55C058F2672E26F94440,14,Public Way - Other,98,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,1064422,2013-03-03 00:00:00+00,0101000020E610000082D4DCC0D3ED55C0470EC7A98CED4440,146,Public Way - Other,99,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,1059045,2012-12-14 00:00:00+00,0101000020E6100000927DEB1E34EC55C0642C89A2F6EC4440,152,Public Way - Other,98,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,1055247,2012-07-03 00:00:00+00,0101000020E6100000D54CADAD0EEE55C04CDD955D30ED4440,146,Public Way - Other,109,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,1032973,2009-11-27 00:00:00+00,0101000020E610000012AC600AC5ED55C06DF5E681D9EE4440,144,Other Private Premise,204,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,1025312,2009-03-19 00:00:00+00,,145,Private Residence,92,false,1114
283,M,Hispanic,2003-09-29,Yes,77.1923,77.5314,11,1006027,2007-05-25 00:00:00+00,0101000020E61000002C4A09C12AED55C03DBF83FAF1ED4440,143,Public Way - Other,139,false,1114
372,F,Black,1986-12-22,No,66.4323,32.3899,152,288034,2003-03-06 00:00:00+00,0101000020E610000055455D10B6E755C0988AE83290D74440,217,Public Way - Other,92,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C220839,1995-09-09 00:00:00+00,0101000020E6100000A8AAD0402CE655C0F8E28BF678E34440,,"",98,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C208776,1994-05-07 00:00:00+00,0101000020E61000006E032D13B4E555C07CE01923C8E24440,,"",152,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C200365,1993-05-04 00:00:00+00,0101000020E610000019051C9D4EE855C01F16C50666F04440,,"",194,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C197870,1993-01-11 00:00:00+00,0101000020E6100000A34918BC1EE455C09745178A2AE14440,,"",205,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C195942,1992-10-18 00:00:00+00,0101000020E61000004647CDB282E555C0A7412CF6F2E04440,,"",98,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C192821,1992-06-11 00:00:00+00,0101000020E61000009A5B21ACC6E655C06589737918E24440,,"",205,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C192624,1992-05-01 00:00:00+00,0101000020E610000071CCB22781E755C004C8D0B183E24440,,"",71,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C192109,1992-05-08 00:00:00+00,0101000020E61000005051F52B1DE755C033FCA71B28E44440,,"",205,false,1288
