original_category,new_category,frequency
Operation/Personnel Violations,topic_3,226
Domestic,topic_3,155
Use Of Force,topic_3,594
Conduct Unbecoming (Off-Duty),topic_3,18
Drug / Alcohol Abuse,topic_3,19
Operation/Personnel Violations,topic_15,252
Illegal Search,topic_14,41
Supervisory Responsibilities,topic_14,1
Verbal Abuse,topic_3,40
Supervisory Responsibilities,topic_3,31
Domestic,topic_4,14
Operation/Personnel Violations,topic_13,33
Use Of Force,topic_13,20
Use Of Force,topic_5,100
Operation/Personnel Violations,topic_12,2138
Drug / Alcohol Abuse,topic_16,1
False Arrest,topic_2,136
Operation/Personnel Violations,topic_11,184
Illegal Search,topic_16,447
Illegal Search,topic_10,916
Use Of Force,topic_12,38
Use Of Force,topic_19,19
Lockup Procedures,topic_19,537
Operation/Personnel Violations,topic_10,253
Use Of Force,topic_6,55
Use Of Force,topic_10,85
False Arrest,topic_10,237
Lockup Procedures,topic_9,21
Verbal Abuse,topic_10,16
Use Of Force,topic_14,28
Illegal Search,topic_1,43
Domestic,topic_18,1
Lockup Procedures,topic_5,18
Traffic,topic_10,131
Verbal Abuse,topic_15,35
Use Of Force,topic_15,55
Use Of Force,topic_17,92
Operation/Personnel Violations,topic_2,48
Illegal Search,topic_15,136
False Arrest,topic_0,65
Operation/Personnel Violations,topic_8,76
Operation/Personnel Violations,topic_0,162
Conduct Unbecoming (Off-Duty),topic_2,6
False Arrest,topic_19,80
False Arrest,topic_12,97
Drug / Alcohol Abuse,topic_6,7
Illegal Search,topic_12,134
Use Of Force,topic_16,20
Operation/Personnel Violations,topic_18,139
Conduct Unbecoming (Off-Duty),topic_1,10
Traffic,topic_15,28
Operation/Personnel Violations,topic_7,32
Illegal Search,topic_19,200
Conduct Unbecoming (Off-Duty),topic_6,9
Operation/Personnel Violations,topic_6,51
Operation/Personnel Violations,topic_1,113
Lockup Procedures,topic_12,58
False Arrest,topic_16,74
Use Of Force,topic_18,20
False Arrest,topic_11,37
Lockup Procedures,topic_10,76
Illegal Search,topic_0,60
False Arrest,topic_18,41
Lockup Procedures,topic_0,15
Traffic,topic_19,10
False Arrest,topic_4,41
Domestic,topic_12,33
Conduct Unbecoming (Off-Duty),topic_11,20
