original_category,new_category,frequency
Supervisory Responsibilities,topic_2,2
Lockup Procedures,topic_17,2
Traffic,topic_9,1
Domestic,topic_17,3
Conduct Unbecoming (Off-Duty),topic_17,3
Domestic,topic_9,1
Domestic,topic_16,4
Supervisory Responsibilities,topic_16,1
Drug / Alcohol Abuse,topic_0,1
Bribery / Official Corruption,topic_10,3
Drug / Alcohol Abuse,topic_16,1
Criminal Misconduct,topic_5,2
Supervisory Responsibilities,topic_6,3
Criminal Misconduct,topic_19,2
Traffic,topic_2,7
Verbal Abuse,topic_11,2
Drug / Alcohol Abuse,topic_6,2
Verbal Abuse,topic_2,1
Excessive Force,topic_16,1
Bribery / Official Corruption,topic_6,2
Bribery / Official Corruption,topic_9,2
Criminal Misconduct,topic_2,3
First Amendment,topic_0,2
Criminal Misconduct,topic_3,1
Verbal Abuse,topic_8,1
Supervisory Responsibilities,topic_5,17
Supervisory Responsibilities,topic_4,1
Verbal Abuse,topic_7,1
Bribery / Official Corruption,topic_7,1
Traffic,topic_7,1
Drug / Alcohol Abuse,topic_9,1
Use Of Force,topic_14,1
Supervisory Responsibilities,topic_10,1
Drug / Alcohol Abuse,topic_19,2
Bribery / Official Corruption,topic_0,2
Bribery / Official Corruption,topic_14,2
Uncategorized,topic_3,35
Uncategorized,topic_8,15
Uncategorized,topic_18,2
Uncategorized,topic_16,49
