original_category,new_category,frequency
Lockup Procedures,topic_8,21
False Arrest,topic_0,28
False Arrest,topic_18,8
Conduct Unbecoming (Off-Duty),topic_8,1
Illegal Search,topic_19,19
Supervisory Responsibilities,topic_18,26
Use Of Force,topic_6,22
Racial Profiling,topic_3,3
Verbal Abuse,topic_13,1
Supervisory Responsibilities,topic_5,1
Lockup Procedures,topic_9,9
Domestic,topic_3,6
Bribery / Official Corruption,topic_17,3
Traffic,topic_15,7
Illegal Search,topic_6,16
Criminal Misconduct,topic_14,1
Supervisory Responsibilities,topic_12,3
Domestic,topic_8,3
First Amendment,topic_6,3
Verbal Abuse,topic_3,8
False Arrest,topic_2,10
Lockup Procedures,topic_0,11
Drug / Alcohol Abuse,topic_10,1
Domestic,topic_11,3
Conduct Unbecoming (Off-Duty),topic_14,5
Traffic,topic_0,1
Conduct Unbecoming (Off-Duty),topic_5,3
Illegal Search,topic_16,11
Bribery / Official Corruption,topic_15,10
Conduct Unbecoming (Off-Duty),topic_4,2
Criminal Misconduct,topic_8,2
Lockup Procedures,topic_17,13
Bribery / Official Corruption,topic_7,2
Criminal Misconduct,topic_1,1
Criminal Misconduct,topic_7,1
Criminal Misconduct,topic_16,2
Drug / Alcohol Abuse,topic_17,2
Bribery / Official Corruption,topic_12,6
Criminal Misconduct,topic_18,2
Excessive Force,topic_8,1
Supervisory Responsibilities,topic_8,1
Use Of Force,topic_0,5
Lockup Procedures,topic_4,5
Criminal Misconduct,topic_19,2
Drug / Alcohol Abuse,topic_19,1
Bribery / Official Corruption,topic_11,4
Drug / Alcohol Abuse,topic_8,1
Criminal Misconduct,topic_17,1
Traffic,topic_19,1
Criminal Misconduct,topic_10,5
Supervisory Responsibilities,topic_15,4
Criminal Misconduct,topic_3,2
Verbal Abuse,topic_2,1
Drug / Alcohol Abuse,topic_15,2
Traffic,topic_17,1
Use Of Force,topic_4,9
Drug / Alcohol Abuse,topic_13,2
Conduct Unbecoming (Off-Duty),topic_11,2
Bribery / Official Corruption,topic_16,1
Criminal Misconduct,topic_6,1
Criminal Misconduct,topic_0,2
First Amendment,topic_5,2
Bribery / Official Corruption,topic_3,2
Criminal Misconduct,topic_9,1
Supervisory Responsibilities,topic_1,1
Verbal Abuse,topic_14,1
Bribery / Official Corruption,topic_14,2
Domestic,topic_16,4
Drug / Alcohol Abuse,topic_4,2
Traffic,topic_14,3
Drug / Alcohol Abuse,topic_7,1
Bribery / Official Corruption,topic_0,1
Lockup Procedures,topic_16,19
Drug / Alcohol Abuse,topic_1,1
Traffic,topic_2,1
Supervisory Responsibilities,topic_3,2
Bribery / Official Corruption,topic_5,2
Bribery / Official Corruption,topic_2,2
Verbal Abuse,topic_8,2
Conduct Unbecoming (Off-Duty),topic_16,1
Bribery / Official Corruption,topic_10,2
Domestic,topic_5,1
Uncategorized,topic_9,39
Uncategorized,topic_18,60
Uncategorized,topic_12,2
