original_category,new_category,frequency
Operation/Personnel Violations,topic_9,144
Domestic,topic_9,136
Use Of Force,topic_9,422
Use Of Force,topic_18,221
Conduct Unbecoming (Off-Duty),topic_18,9
Drug / Alcohol Abuse,topic_9,19
Operation/Personnel Violations,topic_12,331
Illegal Search,topic_2,17
Supervisory Responsibilities,topic_2,1
Operation/Personnel Violations,topic_18,165
Verbal Abuse,topic_18,12
Supervisory Responsibilities,topic_9,18
Domestic,topic_6,21
Conduct Unbecoming (Off-Duty),topic_9,11
Operation/Personnel Violations,topic_10,2283
Use Of Force,topic_10,59
Use Of Force,topic_1,260
False Arrest,topic_11,143
Illegal Search,topic_14,522
Illegal Search,topic_12,229
Use Of Force,topic_7,40
Lockup Procedures,topic_5,477
Operation/Personnel Violations,topic_3,168
Use Of Force,topic_17,31
False Arrest,topic_17,404
Lockup Procedures,topic_1,12
Verbal Abuse,topic_15,13
Illegal Search,topic_15,143
Illegal Search,topic_11,581
Use Of Force,topic_11,25
Verbal Abuse,topic_11,11
Illegal Search,topic_3,203
Domestic,topic_15,13
Lockup Procedures,topic_18,12
Traffic,topic_3,124
Verbal Abuse,topic_1,20
Operation/Personnel Violations,topic_15,179
Operation/Personnel Violations,topic_2,144
Illegal Search,topic_7,44
Conduct Unbecoming (Off-Duty),topic_7,13
False Arrest,topic_5,65
False Arrest,topic_10,119
Drug / Alcohol Abuse,topic_6,12
Illegal Search,topic_18,22
Use Of Force,topic_14,44
Operation/Personnel Violations,topic_7,85
Operation/Personnel Violations,topic_14,93
Operation/Personnel Violations,topic_16,15
Conduct Unbecoming (Off-Duty),topic_1,6
Operation/Personnel Violations,topic_5,130
Illegal Search,topic_5,174
Conduct Unbecoming (Off-Duty),topic_2,19
Operation/Personnel Violations,topic_13,84
Lockup Procedures,topic_15,21
Lockup Procedures,topic_6,5
False Arrest,topic_14,88
Verbal Abuse,topic_10,11
False Arrest,topic_8,58
Illegal Search,topic_4,38
False Arrest,topic_7,55
False Arrest,topic_1,18
Illegal Search,topic_10,122
Domestic,topic_12,8
Conduct Unbecoming (Off-Duty),topic_19,4
Lockup Procedures,topic_3,78
False Arrest,topic_12,97
Illegal Search,topic_1,55
Conduct Unbecoming (Off-Duty),topic_15,37
Lockup Procedures,topic_12,62
Operation/Personnel Violations,topic_1,72
Lockup Procedures,topic_10,82
Operation/Personnel Violations,topic_0,55
Operation/Personnel Violations,topic_6,22
Illegal Search,topic_17,69
Verbal Abuse,topic_17,1
Lockup Procedures,topic_11,24
Conduct Unbecoming (Off-Duty),topic_10,33
Verbal Abuse,topic_7,8
Domestic,topic_7,6
False Arrest,topic_3,73
Traffic,topic_8,5
Criminal Misconduct,topic_2,9
Operation/Personnel Violations,topic_4,48
False Arrest,topic_15,61
Use Of Force,topic_12,70
Operation/Personnel Violations,topic_17,31
Domestic,topic_0,1
Operation/Personnel Violations,topic_19,52
Bribery / Official Corruption,topic_6,2
Domestic,topic_10,24
Traffic,topic_10,30
Domestic,topic_19,12
Conduct Unbecoming (Off-Duty),topic_6,8
Illegal Search,topic_0,22
Operation/Personnel Violations,topic_8,42
Illegal Search,topic_13,11
Lockup Procedures,topic_7,18
Drug / Alcohol Abuse,topic_18,1
Domestic,topic_1,29
Use Of Force,topic_15,21
Use Of Force,topic_5,24
Traffic,topic_7,9
Traffic,topic_5,8
Traffic,topic_11,10
Drug / Alcohol Abuse,topic_12,3
Excessive Force,topic_19,7
Criminal Misconduct,topic_15,4
False Arrest,topic_6,31
Conduct Unbecoming (Off-Duty),topic_0,46
Conduct Unbecoming (Off-Duty),topic_13,63
Operation/Personnel Violations,topic_11,23
Lockup Procedures,topic_19,42
Conduct Unbecoming (Off-Duty),topic_3,17
Traffic,topic_12,61
Traffic,topic_6,3
Traffic,topic_1,2
Verbal Abuse,topic_9,25
Verbal Abuse,topic_12,9
False Arrest,topic_19,50
Traffic,topic_18,9
False Arrest,topic_9,9
Criminal Misconduct,topic_12,6
Use Of Force,topic_3,52
Excessive Force,topic_18,3
False Arrest,topic_13,10
Lockup Procedures,topic_14,7
Use Of Force,topic_19,225
False Arrest,topic_4,38
Drug / Alcohol Abuse,topic_2,4
Lockup Procedures,topic_2,38
Use Of Force,topic_2,7
Illegal Search,topic_8,27
Supervisory Responsibilities,topic_10,32
Verbal Abuse,topic_19,12
Use Of Force,topic_8,19
Bribery / Official Corruption,topic_18,1
Use Of Force,topic_16,12
Verbal Abuse,topic_16,2
Domestic,topic_17,2
Use Of Force,topic_13,7
Conduct Unbecoming (Off-Duty),topic_17,1
Lockup Procedures,topic_13,10
False Arrest,topic_16,8
Domestic,topic_18,14
Traffic,topic_4,2
Traffic,topic_9,1
Illegal Search,topic_9,5
Conduct Unbecoming (Off-Duty),topic_12,11
Verbal Abuse,topic_5,7
Traffic,topic_16,2
Bribery / Official Corruption,topic_8,1
