original_category,new_category,frequency
Operation/Personnel Violations,topic_0,236
Domestic,topic_0,156
Use Of Force,topic_0,644
Conduct Unbecoming (Off-Duty),topic_0,38
Drug / Alcohol Abuse,topic_0,16
Operation/Personnel Violations,topic_5,2228
Illegal Search,topic_14,12
Supervisory Responsibilities,topic_14,4
Verbal Abuse,topic_0,43
Supervisory Responsibilities,topic_0,44
Use Of Force,topic_10,426
Drug / Alcohol Abuse,topic_14,3
False Arrest,topic_13,413
Operation/Personnel Violations,topic_7,186
Illegal Search,topic_18,562
Illegal Search,topic_17,156
Use Of Force,topic_5,44
Use Of Force,topic_8,19
Lockup Procedures,topic_15,410
Operation/Personnel Violations,topic_11,356
Lockup Procedures,topic_17,39
Use Of Force,topic_19,22
Use Of Force,topic_9,4
Lockup Procedures,topic_6,8
Lockup Procedures,topic_11,71
Verbal Abuse,topic_11,19
Illegal Search,topic_13,102
Operation/Personnel Violations,topic_14,117
Illegal Search,topic_11,499
Use Of Force,topic_11,77
Illegal Search,topic_5,135
Domestic,topic_18,3
Lockup Procedures,topic_10,49
Traffic,topic_11,206
Operation/Personnel Violations,topic_4,43
Verbal Abuse,topic_12,26
Use Of Force,topic_12,31
Operation/Personnel Violations,topic_16,12
Use Of Force,topic_14,61
Operation/Personnel Violations,topic_1,222
Illegal Search,topic_19,346
Illegal Search,topic_1,43
Conduct Unbecoming (Off-Duty),topic_5,39
Operation/Personnel Violations,topic_19,56
False Arrest,topic_15,71
False Arrest,topic_5,117
Drug / Alcohol Abuse,topic_1,12
Use Of Force,topic_18,50
Operation/Personnel Violations,topic_18,86
Operation/Personnel Violations,topic_15,161
Conduct Unbecoming (Off-Duty),topic_10,6
Conduct Unbecoming (Off-Duty),topic_14,2
Operation/Personnel Violations,topic_12,111
Operation/Personnel Violations,topic_2,50
Lockup Procedures,topic_5,81
Verbal Abuse,topic_5,9
False Arrest,topic_11,130
Lockup Procedures,topic_14,13
False Arrest,topic_4,77
Domestic,topic_7,34
False Arrest,topic_17,84
Conduct Unbecoming (Off-Duty),topic_11,21
False Arrest,topic_16,110
False Arrest,topic_19,32
Operation/Personnel Violations,topic_6,26
