original_category,new_category,frequency
Operation/Personnel Violations,topic_14,145
Domestic,topic_14,135
Use Of Force,topic_14,521
Use Of Force,topic_13,88
Conduct Unbecoming (Off-Duty),topic_10,25
Domestic,topic_10,36
Drug / Alcohol Abuse,topic_14,16
Operation/Personnel Violations,topic_17,244
Use Of Force,topic_11,62
Illegal Search,topic_9,486
Supervisory Responsibilities,topic_9,1
Verbal Abuse,topic_14,40
Supervisory Responsibilities,topic_14,18
Conduct Unbecoming (Off-Duty),topic_14,11
Operation/Personnel Violations,topic_5,16
Use Of Force,topic_5,23
Use Of Force,topic_4,278
Operation/Personnel Violations,topic_3,1476
Drug / Alcohol Abuse,topic_3,1
False Arrest,topic_6,366
Operation/Personnel Violations,topic_10,128
Illegal Search,topic_17,189
Use Of Force,topic_2,38
Lockup Procedures,topic_0,439
Operation/Personnel Violations,topic_15,171
Use Of Force,topic_19,90
False Arrest,topic_15,158
Use Of Force,topic_7,98
Lockup Procedures,topic_7,22
Lockup Procedures,topic_15,82
Verbal Abuse,topic_15,17
Illegal Search,topic_10,47
Operation/Personnel Violations,topic_13,196
Operation/Personnel Violations,topic_2,550
Illegal Search,topic_15,658
Use Of Force,topic_15,60
Use Of Force,topic_8,27
Illegal Search,topic_4,22
Domestic,topic_19,16
Lockup Procedures,topic_3,44
Traffic,topic_15,134
Verbal Abuse,topic_10,17
Operation/Personnel Violations,topic_8,469
Operation/Personnel Violations,topic_7,37
Conduct Unbecoming (Off-Duty),topic_11,4
False Arrest,topic_0,79
False Arrest,topic_2,48
Drug / Alcohol Abuse,topic_1,6
Illegal Search,topic_3,50
Use Of Force,topic_9,63
Operation/Personnel Violations,topic_12,62
Operation/Personnel Violations,topic_9,98
Operation/Personnel Violations,topic_18,142
Conduct Unbecoming (Off-Duty),topic_4,4
Operation/Personnel Violations,topic_0,132
Illegal Search,topic_0,203
Operation/Personnel Violations,topic_4,89
Illegal Search,topic_2,88
Lockup Procedures,topic_2,45
Lockup Procedures,topic_8,87
False Arrest,topic_9,99
Use Of Force,topic_3,49
Operation/Personnel Violations,topic_16,70
Verbal Abuse,topic_8,11
False Arrest,topic_13,24
Lockup Procedures,topic_17,36
Traffic,topic_8,31
False Arrest,topic_18,39
False Arrest,topic_3,72
Illegal Search,topic_8,153
Domestic,topic_8,15
False Arrest,topic_17,97
Use Of Force,topic_16,6
Illegal Search,topic_19,12
Conduct Unbecoming (Off-Duty),topic_15,20
Verbal Abuse,topic_17,3
Illegal Search,topic_18,67
Illegal Search,topic_16,128
False Arrest,topic_16,47
Operation/Personnel Violations,topic_1,30
Illegal Search,topic_6,55
False Arrest,topic_1,60
Verbal Abuse,topic_6,2
Verbal Abuse,topic_5,8
Domestic,topic_5,5
Conduct Unbecoming (Off-Duty),topic_18,8
Conduct Unbecoming (Off-Duty),topic_8,25
Conduct Unbecoming (Off-Duty),topic_1,7
False Arrest,topic_8,93
Criminal Misconduct,topic_7,8
Operation/Personnel Violations,topic_11,45
Use Of Force,topic_18,29
Lockup Procedures,topic_12,56
Domestic,topic_2,9
Illegal Search,topic_7,41
Bribery / Official Corruption,topic_7,8
Traffic,topic_2,14
Domestic,topic_4,19
Use Of Force,topic_6,25
Drug / Alcohol Abuse,topic_18,6
Drug / Alcohol Abuse,topic_13,5
Use Of Force,topic_0,35
Lockup Procedures,topic_1,9
Traffic,topic_0,8
Illegal Search,topic_5,20
Excessive Force,topic_4,7
Criminal Misconduct,topic_15,3
Lockup Procedures,topic_18,24
Conduct Unbecoming (Off-Duty),topic_3,94
Conduct Unbecoming (Off-Duty),topic_0,23
Conduct Unbecoming (Off-Duty),topic_19,11
Lockup Procedures,topic_16,36
Traffic,topic_1,4
Traffic,topic_14,1
Traffic,topic_17,8
Operation/Personnel Violations,topic_19,43
Conduct Unbecoming (Off-Duty),topic_12,5
Operation/Personnel Violations,topic_6,23
Domestic,topic_7,7
Lockup Procedures,topic_9,8
False Arrest,topic_4,100
Domestic,topic_1,1
Traffic,topic_18,47
Lockup Procedures,topic_14,14
Criminal Misconduct,topic_3,3
Excessive Force,topic_5,2
Lockup Procedures,topic_13,9
Illegal Search,topic_12,9
Drug / Alcohol Abuse,topic_17,2
Drug / Alcohol Abuse,topic_6,3
False Arrest,topic_11,22
Verbal Abuse,topic_12,3
Domestic,topic_3,7
Verbal Abuse,topic_3,1
Domestic,topic_12,1
Domestic,topic_13,15
Supervisory Responsibilities,topic_2,24
Lockup Procedures,topic_19,7
Use Of Force,topic_12,20
Verbal Abuse,topic_4,17
Bribery / Official Corruption,topic_4,3
Verbal Abuse,topic_13,8
Illegal Search,topic_14,27
Use Of Force,topic_17,19
Use Of Force,topic_1,30
Conduct Unbecoming (Off-Duty),topic_7,11
Conduct Unbecoming (Off-Duty),topic_2,14
False Arrest,topic_7,33
Supervisory Responsibilities,topic_8,9
Illegal Search,topic_1,39
Domestic,topic_15,8
Supervisory Responsibilities,topic_17,1
Traffic,topic_13,6
False Arrest,topic_5,5
Conduct Unbecoming (Off-Duty),topic_13,11
Verbal Abuse,topic_0,8
Traffic,topic_5,1
Lockup Procedures,topic_6,16
Bribery / Official Corruption,topic_15,6
Conduct Unbecoming (Off-Duty),topic_17,10
Traffic,topic_19,6
Use Of Force,topic_10,14
Supervisory Responsibilities,topic_13,16
Conduct Unbecoming (Off-Duty),topic_16,3
False Arrest,topic_19,10
Lockup Procedures,topic_4,23
Racial Profiling,topic_4,1
Illegal Search,topic_13,8
Domestic,topic_9,2
Supervisory Responsibilities,topic_0,1
Domestic,topic_17,4
Criminal Misconduct,topic_4,3
Criminal Misconduct,topic_10,7
Traffic,topic_3,12
First Amendment,topic_1,3
False Arrest,topic_14,7
Traffic,topic_7,1
Verbal Abuse,topic_16,1
Conduct Unbecoming (Off-Duty),topic_5,2
Bribery / Official Corruption,topic_9,1
Traffic,topic_12,2
Criminal Misconduct,topic_6,1
Bribery / Official Corruption,topic_8,9
Domestic,topic_6,2
Criminal Misconduct,topic_2,1
Criminal Misconduct,topic_0,1
Drug / Alcohol Abuse,topic_8,4
Drug / Alcohol Abuse,topic_4,1
Criminal Misconduct,topic_11,3
Criminal Misconduct,topic_13,3
Verbal Abuse,topic_19,2
Lockup Procedures,topic_5,3
Excessive Force,topic_16,1
Bribery / Official Corruption,topic_10,2
Supervisory Responsibilities,topic_3,1
Lockup Procedures,topic_11,1
Illegal Search,topic_11,28
Lockup Procedures,topic_10,5
Verbal Abuse,topic_2,3
Supervisory Responsibilities,topic_18,1
Drug / Alcohol Abuse,topic_7,3
Drug / Alcohol Abuse,topic_12,2
Conduct Unbecoming (Off-Duty),topic_9,3
Criminal Misconduct,topic_1,1
Bribery / Official Corruption,topic_18,1
Traffic,topic_4,2
False Arrest,topic_10,9
Criminal Misconduct,topic_16,2
Verbal Abuse,topic_9,1
Verbal Abuse,topic_18,1
Verbal Abuse,topic_11,1
Supervisory Responsibilities,topic_19,1
Drug / Alcohol Abuse,topic_11,1
Excessive Force,topic_11,1
Traffic,topic_10,3
Bribery / Official Corruption,topic_16,1
Domestic,topic_18,1
False Arrest,topic_12,5
First Amendment,topic_0,2
Bribery / Official Corruption,topic_1,2
Criminal Misconduct,topic_14,1
Supervisory Responsibilities,topic_5,15
Bribery / Official Corruption,topic_6,2
Bribery / Official Corruption,topic_17,4
Bribery / Official Corruption,topic_11,1
Drug / Alcohol Abuse,topic_10,1
Supervisory Responsibilities,topic_1,1
Criminal Misconduct,topic_5,2
Drug / Alcohol Abuse,topic_16,1
Bribery / Official Corruption,topic_5,1
Criminal Misconduct,topic_19,1
Conduct Unbecoming (Off-Duty),topic_6,1
Criminal Misconduct,topic_8,2
Racial Profiling,topic_15,2
Uncategorized,topic_14,44
Uncategorized,topic_13,4
Uncategorized,topic_10,2
Uncategorized,topic_17,2
Uncategorized,topic_11,49
