original_category,new_category,frequency
Operation/Personnel Violations,topic_2,186
Domestic,topic_2,80
Use Of Force,topic_2,411
Use Of Force,topic_8,211
Conduct Unbecoming (Off-Duty),topic_2,13
Domestic,topic_8,108
Drug / Alcohol Abuse,topic_8,12
Operation/Personnel Violations,topic_0,317
Use Of Force,topic_15,74
Illegal Search,topic_18,79
Supervisory Responsibilities,topic_18,3
Operation/Personnel Violations,topic_8,108
Verbal Abuse,topic_2,36
Supervisory Responsibilities,topic_2,27
Supervisory Responsibilities,topic_8,6
Use Of Force,topic_4,302
Operation/Personnel Violations,topic_12,1697
False Arrest,topic_11,369
Operation/Personnel Violations,topic_13,150
Illegal Search,topic_1,262
Illegal Search,topic_0,138
Use Of Force,topic_16,39
Use Of Force,topic_13,40
Lockup Procedures,topic_19,512
Operation/Personnel Violations,topic_16,849
Use Of Force,topic_7,36
Use Of Force,topic_11,60
Use Of Force,topic_10,135
Lockup Procedures,topic_10,14
Lockup Procedures,topic_16,49
Verbal Abuse,topic_11,9
Illegal Search,topic_11,687
Illegal Search,topic_16,149
Illegal Search,topic_4,75
Domestic,topic_12,16
Lockup Procedures,topic_14,26
Traffic,topic_16,123
Verbal Abuse,topic_13,25
Operation/Personnel Violations,topic_7,42
False Arrest,topic_9,162
Illegal Search,topic_13,77
Illegal Search,topic_19,221
Operation/Personnel Violations,topic_6,86
Conduct Unbecoming (Off-Duty),topic_13,17
Operation/Personnel Violations,topic_11,70
False Arrest,topic_19,62
False Arrest,topic_12,80
Drug / Alcohol Abuse,topic_14,7
Illegal Search,topic_12,75
Use Of Force,topic_5,33
Operation/Personnel Violations,topic_14,21
Operation/Personnel Violations,topic_5,89
Operation/Personnel Violations,topic_19,148
Conduct Unbecoming (Off-Duty),topic_4,13
Traffic,topic_13,34
Illegal Search,topic_5,313
Conduct Unbecoming (Off-Duty),topic_15,13
Operation/Personnel Violations,topic_4,145
Lockup Procedures,topic_6,35
False Arrest,topic_5,147
Use Of Force,topic_12,33
Verbal Abuse,topic_16,13
False Arrest,topic_4,103
False Arrest,topic_7,65
Domestic,topic_0,8
False Arrest,topic_0,96
Lockup Procedures,topic_13,17
Operation/Personnel Violations,topic_1,35
Lockup Procedures,topic_11,37
False Arrest,topic_18,10
Operation/Personnel Violations,topic_10,31
Illegal Search,topic_9,39
Operation/Personnel Violations,topic_15,82
False Arrest,topic_14,7
Verbal Abuse,topic_9,1
Conduct Unbecoming (Off-Duty),topic_8,18
Conduct Unbecoming (Off-Duty),topic_12,26
Lockup Procedures,topic_12,46
Verbal Abuse,topic_18,6
Use Of Force,topic_18,39
Domestic,topic_18,2
Conduct Unbecoming (Off-Duty),topic_6,10
Conduct Unbecoming (Off-Duty),topic_16,41
Verbal Abuse,topic_17,4
Traffic,topic_0,14
Criminal Misconduct,topic_13,8
False Arrest,topic_16,84
Lockup Procedures,topic_5,25
Domestic,topic_4,20
Domestic,topic_7,1
Bribery / Official Corruption,topic_1,1
Domestic,topic_16,11
Operation/Personnel Violations,topic_3,31
Traffic,topic_12,10
False Arrest,topic_17,38
Drug / Alcohol Abuse,topic_17,1
Conduct Unbecoming (Off-Duty),topic_11,9
Drug / Alcohol Abuse,topic_2,6
Domestic,topic_10,8
Use Of Force,topic_9,9
Illegal Search,topic_8,15
Verbal Abuse,topic_7,1
Use Of Force,topic_19,10
Lockup Procedures,topic_0,45
Traffic,topic_19,9
Traffic,topic_11,64
Traffic,topic_6,8
Illegal Search,topic_6,46
Drug / Alcohol Abuse,topic_11,5
Excessive Force,topic_4,7
Criminal Misconduct,topic_16,1
Conduct Unbecoming (Off-Duty),topic_0,93
Conduct Unbecoming (Off-Duty),topic_7,9
Operation/Personnel Violations,topic_9,29
Traffic,topic_9,1
Traffic,topic_8,1
False Arrest,topic_6,24
False Arrest,topic_13,31
Illegal Search,topic_7,39
Use Of Force,topic_1,45
Domestic,topic_9,1
Illegal Search,topic_17,40
False Arrest,topic_1,41
Lockup Procedures,topic_4,35
Criminal Misconduct,topic_12,7
Excessive Force,topic_2,2
Drug / Alcohol Abuse,topic_6,2
