original_category,new_category,frequency
Verbal Abuse,topic_12,13
Traffic,topic_17,13
Lockup Procedures,topic_8,23
Conduct Unbecoming (Off-Duty),topic_19,8
Use Of Force,topic_17,40
Drug / Alcohol Abuse,topic_18,3
Excessive Force,topic_12,5
Supervisory Responsibilities,topic_15,32
Use Of Force,topic_0,7
False Arrest,topic_12,71
Use Of Force,topic_3,9
Bribery / Official Corruption,topic_10,1
Domestic,topic_11,2
Use Of Force,topic_16,19
Domestic,topic_9,3
Use Of Force,topic_1,35
Conduct Unbecoming (Off-Duty),topic_4,8
Conduct Unbecoming (Off-Duty),topic_3,8
Lockup Procedures,topic_2,28
Lockup Procedures,topic_14,5
Operation/Personnel Violations,topic_16,17
False Arrest,topic_19,36
Illegal Search,topic_19,19
False Arrest,topic_9,9
Conduct Unbecoming (Off-Duty),topic_17,6
Traffic,topic_19,5
Verbal Abuse,topic_1,7
Traffic,topic_16,2
Lockup Procedures,topic_0,23
Bribery / Official Corruption,topic_15,7
False Arrest,topic_10,7
False Arrest,topic_0,28
Illegal Search,topic_3,24
Domestic,topic_4,11
Traffic,topic_10,5
Racial Profiling,topic_12,1
Lockup Procedures,topic_10,14
Traffic,topic_1,7
Bribery / Official Corruption,topic_9,2
Criminal Misconduct,topic_3,1
First Amendment,topic_11,3
False Arrest,topic_4,15
False Arrest,topic_8,5
Illegal Search,topic_16,14
False Arrest,topic_5,32
Bribery / Official Corruption,topic_0,1
Lockup Procedures,topic_18,10
Traffic,topic_3,2
Conduct Unbecoming (Off-Duty),topic_16,4
Bribery / Official Corruption,topic_6,5
Verbal Abuse,topic_17,2
Domestic,topic_6,4
Traffic,topic_11,1
Criminal Misconduct,topic_13,5
Use Of Force,topic_18,6
Criminal Misconduct,topic_7,2
Criminal Misconduct,topic_5,3
Drug / Alcohol Abuse,topic_2,2
Drug / Alcohol Abuse,topic_11,4
Criminal Misconduct,topic_1,3
Bribery / Official Corruption,topic_12,2
Criminal Misconduct,topic_16,2
Drug / Alcohol Abuse,topic_0,3
Bribery / Official Corruption,topic_7,9
Traffic,topic_18,1
Traffic,topic_2,2
Domestic,topic_3,2
Conduct Unbecoming (Off-Duty),topic_1,4
Supervisory Responsibilities,topic_12,1
Verbal Abuse,topic_14,1
Bribery / Official Corruption,topic_13,2
Drug / Alcohol Abuse,topic_4,2
Supervisory Responsibilities,topic_13,1
Criminal Misconduct,topic_19,1
Conduct Unbecoming (Off-Duty),topic_14,1
Criminal Misconduct,topic_10,2
Criminal Misconduct,topic_17,1
Domestic,topic_1,1
Supervisory Responsibilities,topic_1,1
Drug / Alcohol Abuse,topic_14,2
Traffic,topic_14,1
Use Of Force,topic_2,9
Verbal Abuse,topic_19,2
Drug / Alcohol Abuse,topic_17,1
Excessive Force,topic_19,1
Conduct Unbecoming (Off-Duty),topic_6,3
Bribery / Official Corruption,topic_19,2
Verbal Abuse,topic_0,2
First Amendment,topic_6,2
Bribery / Official Corruption,topic_5,2
Criminal Misconduct,topic_8,2
Supervisory Responsibilities,topic_3,13
Bribery / Official Corruption,topic_18,3
Bribery / Official Corruption,topic_1,2
Supervisory Responsibilities,topic_5,1
Drug / Alcohol Abuse,topic_13,1
Bribery / Official Corruption,topic_4,2
Criminal Misconduct,topic_9,1
Verbal Abuse,topic_4,2
Traffic,topic_12,1
Criminal Misconduct,topic_18,1
Racial Profiling,topic_7,2
Uncategorized,topic_10,18
Uncategorized,topic_8,32
Uncategorized,topic_1,2
Uncategorized,topic_19,49
