original_category,new_category,frequency
Operation/Personnel Violations,topic_6,71
Domestic,topic_6,41
Domestic,topic_19,80
Use Of Force,topic_19,314
Conduct Unbecoming (Off-Duty),topic_7,6
Use Of Force,topic_4,210
Domestic,topic_4,39
Drug / Alcohol Abuse,topic_4,9
Operation/Personnel Violations,topic_19,179
Operation/Personnel Violations,topic_15,2180
Illegal Search,topic_16,32
Supervisory Responsibilities,topic_16,1
Operation/Personnel Violations,topic_4,77
Verbal Abuse,topic_6,13
Supervisory Responsibilities,topic_19,22
Use Of Force,topic_6,349
Domestic,topic_7,12
Conduct Unbecoming (Off-Duty),topic_4,8
Domestic,topic_3,1
Domestic,topic_1,4
Supervisory Responsibilities,topic_1,1
Operation/Personnel Violations,topic_7,43
Use Of Force,topic_7,46
Drug / Alcohol Abuse,topic_19,8
False Arrest,topic_1,471
Operation/Personnel Violations,topic_0,71
Illegal Search,topic_9,613
Use Of Force,topic_10,67
Lockup Procedures,topic_13,524
Operation/Personnel Violations,topic_12,120
Operation/Personnel Violations,topic_8,240
Use Of Force,topic_14,12
False Arrest,topic_8,138
Lockup Procedures,topic_6,31
Lockup Procedures,topic_8,52
Verbal Abuse,topic_8,20
Illegal Search,topic_14,61
Illegal Search,topic_5,305
Use Of Force,topic_8,51
Use Of Force,topic_16,20
Illegal Search,topic_11,46
Illegal Search,topic_8,633
Traffic,topic_8,185
Verbal Abuse,topic_14,7
Operation/Personnel Violations,topic_5,329
Operation/Personnel Violations,topic_16,96
Operation/Personnel Violations,topic_3,37
Illegal Search,topic_10,73
Conduct Unbecoming (Off-Duty),topic_0,27
False Arrest,topic_13,63
False Arrest,topic_15,86
Drug / Alcohol Abuse,topic_18,7
Illegal Search,topic_19,12
Use Of Force,topic_9,20
Operation/Personnel Violations,topic_2,151
Operation/Personnel Violations,topic_9,104
Operation/Personnel Violations,topic_1,49
Conduct Unbecoming (Off-Duty),topic_11,11
Illegal Search,topic_13,124
Illegal Search,topic_1,160
Conduct Unbecoming (Off-Duty),topic_13,7
Operation/Personnel Violations,topic_18,38
Lockup Procedures,topic_15,57
Use Of Force,topic_1,41
Verbal Abuse,topic_15,8
False Arrest,topic_12,18
Lockup Procedures,topic_16,38
False Arrest,topic_10,35
Illegal Search,topic_15,104
Domestic,topic_5,15
