original_category,new_category,frequency
Conduct Unbecoming (Off-Duty),topic_9,2
Supervisory Responsibilities,topic_11,1
Domestic,topic_7,5
Drug / Alcohol Abuse,topic_19,2
Criminal Misconduct,topic_12,1
Drug / Alcohol Abuse,topic_10,1
Domestic,topic_10,2
Criminal Misconduct,topic_6,2
Criminal Misconduct,topic_14,4
Criminal Misconduct,topic_3,2
Verbal Abuse,topic_13,2
Domestic,topic_0,1
Traffic,topic_13,2
Verbal Abuse,topic_0,3
Supervisory Responsibilities,topic_6,15
Criminal Misconduct,topic_10,1
Bribery / Official Corruption,topic_13,2
Criminal Misconduct,topic_13,3
First Amendment,topic_4,2
Bribery / Official Corruption,topic_3,5
Bribery / Official Corruption,topic_17,5
Supervisory Responsibilities,topic_10,1
Bribery / Official Corruption,topic_1,1
Bribery / Official Corruption,topic_14,3
Supervisory Responsibilities,topic_18,2
Bribery / Official Corruption,topic_4,2
Drug / Alcohol Abuse,topic_9,1
Criminal Misconduct,topic_9,1
Criminal Misconduct,topic_5,1
Domestic,topic_4,1
Racial Profiling,topic_11,2
Uncategorized,topic_15,50
Uncategorized,topic_5,2
Uncategorized,topic_6,49
